stop_loss_pct,take_profit_pct,enable_trend_break_exit,market_open_delay_minutes,momentum_lookback_minutes,trade_count,total_pnl,return_pct,win_rate,avg_win,avg_loss,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,avg_bars_held,avg_mfe,avg_mae,exit_reasons
0.015,0.02,False,30,20,787,-22.693584316549725,-22.69358431654982,43.710292249047015,0.8810195294691869,-0.7353595992188489,0.9303374122161292,-0.028835558216708673,-36.15965794287468,-0.7364862271799009,-1.2460102642953996,88.89326556543837,0.011789693895367536,-0.0110521355057313,"{'stop': 348, 'eod': 199, 'take_profit': 240}"
0.01,0.02,False,5,20,1361,-22.90863985392791,-22.908639853928037,35.562086700955184,0.8470889158491747,-0.4936142247718682,0.9470809493046702,-0.016832211501783916,-48.96704777782882,-0.8332744489943464,-1.3809861267596553,57.02939015429831,0.010797107510521924,-0.008737799242615446,"{'take_profit': 360, 'stop': 796, 'eod': 205}"
0.025,0.035,True,5,20,2002,-23.1016036680457,-23.101603668045513,17.182817182817185,0.9972234937482543,-0.22083623975720457,0.9369061165904732,-0.0115392625714514,-44.362558210281385,-0.8804286422871982,-1.4797880796727543,30.632867132867133,0.008324819386842217,-0.005136017630928274,"{'trend_break': 1664, 'eod': 164, 'take_profit': 147, 'stop': 27}"
0.006,0.06,False,5,5,1242,-23.273421138080113,-23.273421138080096,18.92109500805153,1.5508007374348953,-0.3850164790817086,0.9399723364683511,-0.018738664362383344,-51.56008051915768,-0.5089903572625017,-0.7827194999297366,62.789855072463766,0.011390052067303735,-0.0067670374811775935,"{'stop': 977, 'eod': 219, 'take_profit': 46}"
0.01,0.035,True,5,20,2131,-23.56368789997053,-23.563687899970308,16.001877053026746,1.0930640105567433,-0.22139581871498326,0.9405405597589697,-0.01105757292349626,-49.17622984408679,-0.8474374351114436,-1.4030069300972585,29.11590802440169,0.008125872474185997,-0.004899107603315532,"{'trend_break': 1531, 'stop': 290, 'eod': 160, 'take_profit': 150}"
0.01,0.06,True,5,5,1911,-24.13533568549878,-24.13533568549887,14.442700156985872,1.080915541690581,-0.1972281499645866,0.9251543291117903,-0.012629689003400722,-39.00286177871734,-0.6766239576345255,-1.2489735454264987,36.17739403453689,0.008790781474572264,-0.00469752872864005,"{'stop': 234, 'trend_break': 1438, 'eod': 192, 'take_profit': 47}"
0.025,0.035,True,5,5,2238,-24.2842609310253,-24.28426093102537,16.890080428954423,0.9631952598646814,-0.20880218772036283,0.9374716596289817,-0.010850876197955899,-44.73039320688454,-0.8190733155811463,-1.5608764678765632,29.741286863270776,0.008122525786833045,-0.00505082744836058,"{'trend_break': 1880, 'take_profit': 158, 'eod': 176, 'stop': 24}"
0.015,0.035,True,5,20,2060,-25.209647254923023,-25.209647254922896,16.74757281553398,0.9864254051117376,-0.21313493412155834,0.9310319407133593,-0.012237692842195643,-44.67664916105596,-1.045475444011295,-1.740676564351481,29.55728155339806,0.008144981583947839,-0.005019170458415444,"{'trend_break': 1639, 'eod': 164, 'take_profit': 146, 'stop': 111}"
0.006,0.035,True,30,10,2050,-26.177848245631953,-26.177848245631974,15.170731707317072,0.9033964718217035,-0.17661538296847712,0.9147673804364704,-0.012769682071039977,-43.4694796195713,-1.0368827995414533,-1.7029913221040502,28.520487804878048,0.007290320094890984,-0.004253697920446053,"{'stop': 586, 'take_profit': 104, 'trend_break': 1185, 'eod': 175}"
0.015,0.035,True,30,5,2069,-26.26613230514753,-26.266132305147792,16.57805703238279,0.8815376760390664,-0.19040182803392078,0.9200747096861802,-0.012695085696059705,-38.32444471290375,-1.0931537131795643,-1.95271246868143,30.717738037699373,0.0075407011090257116,-0.004451710100264695,"{'trend_break': 1684, 'take_profit': 123, 'eod': 176, 'stop': 86}"
