entry_ts,exit_ts,symbol,qty,entry_price,exit_price,pnl,hold_sec,hold_min,exit_reason,trailed,entry_score,era,symbol_resolved
2026-03-25 14:05:56,2026-03-25 14:11:01,QQQ,1.41471,589.04,588.898628,-0.2,305.5,5.09,trend_break,0,0.000512,legacy,inferred_single_open
2026-03-25 14:12:02,2026-03-25 14:26:41,IWM,3.307073,251.95,251.937905,-0.04,879.5,14.66,trend_break,0,0.000967,legacy,inferred_single_open
2026-03-25 14:27:43,2026-03-25 14:28:45,SPY,1.266799,657.78,657.55897,-0.28,62.5,1.04,trend_break,0,-0.000211,legacy,inferred_single_open
2026-03-25 14:29:46,2026-03-25 14:30:49,SPY,1.267127,657.63,657.661567,0.04,62.9,1.05,trend_break,0,-0.000705,legacy,inferred_single_open
2026-03-25 14:31:51,2026-03-25 14:32:53,QQQ,1.415479,588.69,588.746518,0.08,62.4,1.04,trend_break,0,-0.000459,legacy,inferred_single_open
2026-03-25 14:33:54,2026-03-25 14:42:00,SPY,1.267031,657.7,657.352731,-0.44,485.8,8.1,trend_break,0,-0.000312,legacy,inferred_single_open
2026-03-25 14:43:01,2026-03-25 14:44:03,SPY,1.267821,657.24,657.121687,-0.15,62.4,1.04,trend_break,0,-0.000146,legacy,inferred_single_open
2026-03-25 14:45:04,2026-03-25 14:46:37,SPY,1.267512,657.4,657.2501,-0.19,92.9,1.55,trend_break,0,-0.000532,legacy,inferred_single_open
2026-03-25 14:47:37,2026-03-25 14:49:41,SPY,1.267763,657.28,657.193233,-0.11,123.2,2.05,trend_break,0,-0.000133,legacy,inferred_single_open
2026-03-25 15:19:32,2026-03-25 15:30:39,QQQ,1.418829,587.31,587.31,0.0,667.8,11.13,trend_break,0,0.000985,legacy,inferred_single_open
2026-03-25 15:33:12,2026-03-25 15:34:15,SPY,1.269695,656.28,656.169737,-0.14,62.7,1.05,trend_break,0,-0.000773,legacy,inferred_single_open
2026-03-30 12:47:24,2026-03-30 12:56:59,QQQ,1.481992,562.25,561.912616,-0.5,575.5,9.59,trend_break,0,0.00028,legacy,inferred_single_open
2026-03-30 13:01:01,2026-03-30 13:05:35,SPY,1.310801,635.69,634.942366,-0.98,273.8,4.56,trend_break,0,0.000132,legacy,inferred_single_open
2026-03-30 13:26:19,2026-03-30 13:27:52,DIA,1.839485,453.02,452.791675,-0.42,92.8,1.55,trend_break,0,-0.000925,legacy,inferred_single_open
2026-03-30 13:31:54,2026-03-30 13:32:56,DIA,1.840582,452.73,452.561575,-0.31,62.3,1.04,trend_break,0,-0.00032,legacy,inferred_single_open
2026-03-30 13:36:58,2026-03-30 14:07:15,QQQ,1.488797,559.67,559.602832,-0.1,1816.1,30.27,trend_break,0,-0.000265,legacy,inferred_single_open
2026-03-30 14:11:16,2026-03-30 14:14:19,QQQ,1.48917,559.54,559.419127,-0.18,183.0,3.05,trend_break,0,-0.000358,legacy,inferred_single_open
2026-03-30 14:18:21,2026-04-01 14:29:47,IWM,3.475495,239.772878,239.574345,-0.69,173485.9,2891.43,trend_break,0,0.000554,legacy,inferred_fifo
2026-04-01 14:33:50,2026-04-01 14:34:53,QQQ,1.42949,582.88,582.712108,-0.24,62.3,1.04,trend_break,0,-0.000423,legacy,inferred_single_open
2026-04-02 14:15:00,2026-04-02 14:25:42,SPY,1.274141,653.98,653.516943,-0.59,642.3,10.71,trend_break,0,0.000307,legacy,logged
2026-04-06 13:26:18,2026-04-06 13:42:20,IWM,3.307729,251.93,251.899768,-0.1,961.8,16.03,trend_break,0,0.004696,legacy,logged
2026-04-06 14:14:18,2026-04-07 11:42:19,SPY,1.267744,657.19,657.126896,-0.08,77281.4,1288.02,trend_break,0,0.000803,legacy,logged
2026-04-09 10:58:10,2026-04-09 11:09:17,SPY,1.234316,675.09,674.99278,-0.12,666.1,11.1,trend_break,0,5.9e-05,legacy,logged
2026-04-09 11:19:13,2026-04-09 11:31:15,SPY,1.232327,676.23,676.051476,-0.22,722.8,12.05,trend_break,0,0.001062,legacy,logged
2026-04-09 11:38:16,2026-04-09 14:29:18,IWM,3.191673,261.045195,261.659293,1.96,10261.5,171.02,unattributed_market_exit,0,0.002607,legacy,logged
2026-04-09 11:39:21,2026-04-09 14:29:20,QQQ,1.373821,606.54,607.850214,1.8,10199.0,169.98,unattributed_market_exit,0,0.00193,legacy,logged
2026-04-09 11:37:11,2026-04-09 14:29:21,SPY,1.229418,677.81,678.867411,1.3,10329.1,172.15,unattributed_market_exit,0,0.002237,legacy,logged
2026-04-10 10:18:22,2026-04-10 10:42:50,SPY,1.223227,681.22,681.399852,0.22,1467.5,24.46,trend_break,0,0.000159,legacy,logged
